Gender,Hours Studied,Previous Scores,Extracurricular Activities,Tuition,Sleep Hours,Sample Question Papers Practiced,Performance Index
Male,4,61,No,No,7,1,44
Female,2,58,No,Yes,9,4,45
Female,9,97,No,Yes,6,2,99
Male,7,92,Yes,No,8,4,86
Male,4,40,Yes,No,4,8,25
Male,3,63,Yes,No,8,7,45
Male,3,75,No,Yes,6,8,59
Female,9,64,No,Yes,7,8,72
Male,5,75,Yes,Yes,4,7,68
Female,3,70,No,No,6,7,51
Female,5,70,No,Yes,9,5,64
Female,2,41,No,Yes,6,5,20
Male,4,58,No,No,8,5,43
Female,2,92,Yes,No,9,9,74
Female,2,51,No,No,5,5,30
Female,8,49,Yes,No,5,8,48
Female,1,70,No,No,4,9,48
Male,7,84,No,Yes,6,0,77
Male,5,61,Yes,No,7,9,46
Male,8,62,No,Yes,4,5,60
Male,1,91,Yes,Yes,9,7,70
Male,7,62,Yes,Yes,4,0,55
Male,5,54,Yes,Yes,8,5,42
Female,4,65,Yes,Yes,9,8,52
Male,7,42,Yes,No,7,5,36
Female,2,62,Yes,No,6,1,41
Female,1,59,Yes,No,9,0,36
Male,1,84,No,Yes,6,3,65
Male,1,79,Yes,No,6,5,57
Male,5,96,No,Yes,4,9,87
Male,7,78,No,No,8,9,72
Female,2,95,No,No,4,8,73
Male,8,47,Yes,Yes,5,4,46
Female,4,57,Yes,No,5,6,46
Male,3,80,No,Yes,6,5,64
Female,8,45,Yes,No,8,5,46
Female,2,66,No,Yes,9,8,50
Female,3,75,No,Yes,6,4,58
Female,3,54,No,No,9,1,36
Female,1,76,Yes,Yes,6,7,58
Female,6,97,No,Yes,4,2,91
Female,2,44,Yes,No,6,8,25
Female,1,78,No,No,6,4,57
Female,2,48,Yes,No,8,0,28
Female,6,46,No,Yes,8,3,38
Female,4,80,Yes,Yes,9,8,73
Female,6,59,No,No,8,0,49
Female,9,49,Yes,Yes,6,7,53
Male,8,65,Yes,Yes,8,7,64
Male,1,43,Yes,No,8,8,17
Female,8,77,No,No,7,8,76
Male,9,63,No,No,7,5,60
Female,6,53,No,Yes,5,4,45
Male,5,80,Yes,No,4,6,66
Female,6,40,Yes,No,4,8,32
Male,6,56,No,No,8,4,46
Male,9,84,No,No,5,2,79
Male,4,63,Yes,Yes,5,8,49
Female,2,66,No,No,9,9,50
Male,9,46,Yes,No,7,0,44
Male,2,48,Yes,Yes,5,0,26
Male,9,82,Yes,No,6,9,83
Male,2,74,No,No,9,3,56
Male,8,97,Yes,No,8,1,92
Male,9,51,No,Yes,6,6,51
Male,9,60,Yes,No,4,1,58
Female,9,42,No,No,7,6,42
Male,2,54,No,No,6,7,33
Male,4,60,Yes,No,8,7,43
Female,7,49,Yes,Yes,6,2,46
Male,2,72,Yes,Yes,6,8,56
Female,1,85,Yes,No,5,9,61
Female,3,98,No,No,7,9,83
Male,4,91,No,No,4,9,72
Male,8,45,No,No,8,5,40
Female,6,41,No,Yes,9,3,38
Male,2,68,No,Yes,9,7,50
Male,9,94,Yes,No,8,3,95
Female,2,79,Yes,No,4,3,61
Male,5,72,No,No,8,7,56
Male,4,43,Yes,No,5,3,24
Female,7,98,Yes,No,9,0,92
Male,8,43,Yes,No,9,5,40
Female,5,68,Yes,No,6,7,60
Male,5,76,Yes,Yes,5,2,66
Male,2,59,Yes,Yes,9,1,42
Female,8,80,No,Yes,5,5,79
Female,2,62,Yes,No,5,0,43
Male,6,84,Yes,Yes,4,4,77
Male,8,57,No,No,9,5,56
Male,6,88,No,Yes,7,7,82
Female,4,64,No,Yes,4,6,49
Female,4,40,Yes,Yes,4,5,26
Female,6,93,No,Yes,5,1,85
Female,4,54,Yes,Yes,7,7,43
Female,8,73,No,Yes,4,7,76
Male,9,87,Yes,No,7,4,89
Female,1,59,Yes,No,9,2,39
Male,4,93,No,No,5,7,79
Female,4,76,Yes,Yes,4,4,66
Male,2,66,Yes,No,7,2,47
Male,6,61,Yes,Yes,8,8,53
Male,3,90,Yes,Yes,4,8,77
Female,7,44,No,No,4,6,38
Female,5,73,No,No,4,7,62
Male,4,78,No,Yes,7,4,67
Male,5,42,Yes,No,6,4,29
Female,8,56,No,Yes,9,4,56
Male,3,63,No,Yes,4,1,45
Male,7,63,Yes,No,8,2,58
Male,6,42,No,Yes,8,7,34
Male,1,84,No,No,5,5,58
Female,7,46,No,Yes,6,8,44
Male,7,64,Yes,Yes,6,6,60
Female,1,95,No,No,7,5,72
Male,9,42,No,Yes,5,3,44
Female,6,54,No,No,7,6,47
Male,2,68,Yes,Yes,5,3,44
Female,5,89,Yes,Yes,9,6,84
Female,4,68,No,Yes,6,4,58
Male,7,49,No,No,9,1,43
Female,8,71,No,Yes,7,6,71
Female,1,62,Yes,Yes,5,7,41
Male,5,78,Yes,No,6,9,66
Female,3,48,No,No,6,1,30
Male,1,76,No,No,4,5,52
Male,3,91,Yes,Yes,7,3,77
Female,6,79,Yes,No,4,4,73
Male,7,53,No,Yes,6,0,49
Male,8,43,Yes,Yes,7,5,42
Female,4,59,No,Yes,7,7,47
Female,3,67,No,No,9,1,53
Male,5,53,Yes,Yes,8,0,44
Female,9,83,No,No,5,8,82
Female,6,73,No,No,8,1,65
Male,9,52,No,No,8,7,49
Male,6,70,No,No,6,4,55
Male,2,72,No,Yes,9,1,52
Male,5,91,No,No,5,4,73
Female,9,78,No,Yes,8,8,84
Male,8,67,Yes,No,8,5,64
Male,7,64,Yes,Yes,7,2,58
Male,1,71,No,No,6,7,48
Male,4,48,Yes,Yes,8,0,32
Female,7,67,No,Yes,5,8,67
Female,7,97,No,Yes,4,8,94
Male,6,70,Yes,Yes,4,3,63
Male,8,56,No,No,6,7,49
Female,6,92,No,No,4,2,83
Female,3,62,Yes,No,7,5,46
Male,4,52,Yes,Yes,7,9,40
Female,3,94,Yes,Yes,5,9,81
Male,1,49,Yes,No,9,7,27
Female,5,55,Yes,No,6,8,43
Female,1,45,Yes,No,6,7,19
Female,1,87,No,No,4,8,64
Female,2,50,Yes,Yes,8,3,36
Male,4,97,Yes,Yes,8,9,83
Female,6,91,No,Yes,9,0,87
Female,8,42,No,No,8,6,40
Female,3,67,Yes,No,9,9,54
Female,1,80,No,Yes,5,3,60
Male,3,54,No,No,6,0,32
Female,3,52,No,No,4,2,30
Female,5,81,No,No,5,6,70
Female,4,91,No,Yes,7,2,79
Female,4,95,No,Yes,7,0,82
Male,9,84,No,No,7,6,83
Male,7,56,Yes,Yes,9,7,51
Male,4,46,No,No,9,4,31
Male,3,67,Yes,Yes,6,5,52
Female,6,77,No,No,7,2,66
Female,3,52,No,Yes,9,4,41
Male,6,56,Yes,Yes,9,2,49
Male,9,54,No,No,8,1,54
Male,6,75,No,No,9,6,65
Female,4,67,Yes,No,7,9,59
Female,5,54,No,Yes,5,6,48
Male,6,85,No,No,7,7,75
Female,3,92,Yes,Yes,8,0,79
Male,8,50,Yes,No,7,1,40
Female,4,95,No,No,4,1,79
Male,8,70,Yes,Yes,8,2,70
Male,3,43,No,No,6,6,23
Male,7,74,No,Yes,7,6,70
Male,9,73,Yes,No,9,6,74
Male,4,91,Yes,No,5,0,74
Male,8,66,Yes,No,7,1,62
Male,3,49,Yes,Yes,5,7,32
Female,7,69,No,Yes,4,8,64
Female,3,84,Yes,Yes,6,9,75
Male,7,59,Yes,No,9,6,51
Male,6,68,No,No,8,0,57
Male,2,97,No,No,8,3,78
Male,3,92,No,No,6,9,73
Male,6,68,No,Yes,4,7,61
Female,4,62,No,No,4,4,49
Male,6,96,No,Yes,7,0,89
Male,1,89,No,No,4,6,65
Male,1,60,No,Yes,7,5,40
Female,3,87,No,No,5,8,69
Female,8,82,Yes,No,6,3,77
Female,8,49,Yes,No,5,3,50
Female,4,80,No,Yes,5,7,70
Female,6,51,Yes,No,5,3,40
Female,8,69,No,No,5,2,70
Male,7,90,No,No,8,6,81
Female,7,72,No,No,4,4,64
Female,4,57,No,Yes,6,8,45
Female,9,53,Yes,Yes,6,4,59
Male,6,61,Yes,No,9,8,52
Female,3,60,No,No,5,5,42
Female,5,40,Yes,No,6,5,26
Female,5,88,Yes,Yes,7,5,81
Male,5,82,No,No,6,6,68
Female,8,91,No,Yes,5,3,88
Female,9,54,Yes,Yes,6,3,57
Male,9,75,Yes,Yes,4,8,74
Female,6,86,No,No,5,6,81
Male,6,93,No,No,8,9,85
Male,9,61,Yes,Yes,4,5,64
Female,4,71,No,No,6,0,52
Male,6,97,No,No,8,6,86
Female,4,85,No,Yes,9,5,74
Female,1,93,Yes,Yes,4,3,72
Male,7,72,Yes,Yes,9,7,70
Female,6,97,No,Yes,7,6,92
Female,9,80,Yes,No,4,7,79
Male,7,98,No,Yes,8,8,100
Female,7,78,Yes,Yes,9,0,77
Female,2,62,Yes,Yes,7,2,42
Female,9,82,Yes,No,9,1,85
Male,9,94,No,Yes,6,2,100
Female,6,41,No,No,5,1,33
Male,3,41,No,No,9,5,20
Male,1,77,Yes,No,6,8,52
Male,4,94,No,Yes,5,1,82
Female,3,90,No,Yes,5,3,74
Male,1,68,No,Yes,8,4,46
Male,3,91,No,No,7,4,71
Male,4,85,Yes,Yes,7,0,73
Female,8,42,No,Yes,4,5,43
Female,9,78,No,Yes,6,4,84
Female,3,46,Yes,No,8,5,33
Male,6,75,No,Yes,9,3,71
Female,5,68,Yes,Yes,6,5,64
Female,6,94,Yes,Yes,9,8,89
Female,4,76,Yes,No,9,0,62
Female,6,88,No,Yes,9,5,83
Female,7,97,Yes,No,4,0,91
Female,9,75,Yes,Yes,4,6,77
Male,7,62,Yes,Yes,8,3,57
Male,6,84,No,No,4,5,75
Male,1,55,Yes,No,8,6,33
Female,2,87,Yes,No,4,4,66
Female,1,70,Yes,No,7,8,51
Female,9,73,No,Yes,8,7,78
Female,9,89,Yes,No,7,2,91
Male,7,40,Yes,No,7,0,33
Female,2,57,No,Yes,8,9,37
Male,6,97,No,Yes,6,7,88
Female,4,79,No,Yes,5,3,65
Male,1,82,Yes,No,4,6,57
Female,1,95,Yes,No,9,3,76
Male,5,95,Yes,Yes,4,6,84
Female,2,54,Yes,No,9,0,33
Female,4,87,No,No,6,0,68
Male,1,88,Yes,No,5,1,64
Female,4,56,No,No,6,4,39
Male,6,83,Yes,No,5,9,74
Female,4,49,Yes,No,8,5,34
Female,1,59,Yes,No,8,1,38
Female,7,45,No,No,9,0,40
Male,2,47,No,No,7,8,22
Male,9,84,No,No,7,6,85
Female,3,73,No,No,9,7,59
Male,8,71,Yes,Yes,8,5,73
Female,8,90,Yes,No,9,8,88
Male,3,93,Yes,Yes,7,7,76
Female,4,81,Yes,Yes,9,3,71
Female,2,43,Yes,No,8,4,24
Female,4,83,No,Yes,6,1,71
Male,9,89,No,No,4,0,81
Female,2,78,Yes,No,8,5,61
Female,3,59,Yes,Yes,9,2,46
Male,4,63,Yes,Yes,8,3,50
Male,5,63,Yes,Yes,8,0,53
Female,1,94,No,No,7,5,73
Female,7,65,Yes,Yes,9,7,65
Male,7,64,Yes,Yes,7,9,59
Female,9,75,Yes,Yes,9,3,77
Female,4,46,Yes,No,7,9,35
Male,6,49,No,No,7,7,37
Male,2,97,Yes,Yes,6,9,77
Male,4,86,No,No,8,2,70
Male,2,51,No,Yes,6,6,33
Female,5,40,Yes,Yes,7,2,35
Male,7,91,Yes,Yes,6,5,85
Female,1,89,Yes,No,8,3,67
Male,7,64,Yes,No,8,5,58
Female,6,55,Yes,No,7,6,49
Male,6,44,No,No,8,7,33
Female,8,58,No,No,6,5,57
Female,8,43,No,Yes,5,3,41
Female,6,45,No,No,8,8,38
Male,3,65,No,Yes,6,6,46
Male,5,88,Yes,Yes,6,8,80
Male,2,78,Yes,Yes,6,2,60
Male,5,95,No,Yes,8,4,86
Female,9,94,Yes,No,5,0,90
Female,1,78,Yes,Yes,7,7,59
Female,5,48,No,Yes,7,0,40
Male,6,84,No,Yes,8,0,75
Female,7,91,No,No,8,6,90
Male,9,53,Yes,No,4,7,55
Female,6,87,No,Yes,9,2,81
Male,5,94,No,No,5,1,81
Male,7,48,Yes,No,6,6,40
Male,1,54,Yes,No,9,9,33
Male,5,76,No,No,6,4,62
Female,2,89,Yes,Yes,9,0,74
Female,4,92,No,No,7,1,77
Male,7,59,Yes,No,9,2,54
Female,5,47,No,No,8,5,33
Female,6,71,Yes,No,5,0,61
Female,2,86,Yes,No,7,7,68
Male,3,60,Yes,No,9,1,41
Male,7,96,No,No,5,4,91
Female,2,80,No,Yes,8,7,66
Male,6,58,No,No,6,4,45
Male,5,68,Yes,Yes,4,7,57
Female,1,97,Yes,No,5,5,77
Male,4,70,Yes,Yes,6,6,58
Male,2,93,No,No,5,7,71
Female,4,45,Yes,Yes,5,2,33
Female,1,43,No,Yes,5,4,25
Female,2,82,No,Yes,8,9,65
Male,8,68,No,No,7,6,68
Female,6,81,No,No,5,8,74
Male,2,42,No,Yes,8,5,27
Male,6,40,Yes,Yes,4,9,32
Female,9,83,Yes,Yes,7,0,92
Female,7,94,Yes,Yes,8,7,93
Female,9,54,Yes,No,4,5,54
Female,5,86,Yes,Yes,7,0,80
Female,7,60,Yes,No,8,3,57
Female,7,85,No,Yes,4,5,80
Male,3,97,Yes,No,8,9,78
Female,7,70,No,Yes,4,0,64
Male,1,46,No,No,5,9,20
Female,9,56,No,No,5,4,55
Male,6,95,No,Yes,7,2,88
Male,5,58,No,Yes,4,6,48
Female,7,78,Yes,Yes,5,7,76
Female,5,42,Yes,No,7,2,27
Male,5,69,Yes,Yes,6,9,62
Male,7,74,No,No,5,2,68
Female,7,97,Yes,No,5,2,92
Male,3,96,Yes,No,9,5,79
Female,3,68,No,No,8,5,53
Female,3,89,No,Yes,6,2,78
Female,6,91,Yes,No,4,5,81
Male,6,93,No,No,7,8,83
Male,3,53,No,No,6,7,32
Male,3,74,No,No,4,6,52
Male,8,67,Yes,No,5,6,68
Female,8,97,No,No,9,7,97
Male,7,69,No,No,7,6,59
Male,4,65,No,No,7,2,46
Female,4,46,No,No,6,7,34
Male,3,78,No,No,8,7,63
Male,5,70,Yes,No,4,0,57
Female,3,44,Yes,No,9,9,34
Female,8,74,No,Yes,9,4,75
Male,7,89,No,No,6,4,79
Female,3,86,Yes,Yes,8,0,79
Female,9,91,Yes,No,8,5,92
Male,5,53,No,Yes,8,5,44
Female,9,75,No,No,7,3,74
Female,7,66,Yes,Yes,4,5,66
Male,7,63,No,No,4,5,51
Female,6,79,No,Yes,6,0,78
Female,2,68,Yes,No,5,4,49
Male,9,92,Yes,No,6,1,87
Female,6,84,Yes,No,4,6,72
Male,8,61,Yes,Yes,7,8,60
Female,1,47,No,No,6,8,27
Male,5,54,No,No,5,8,39
Female,1,88,No,Yes,9,6,73
Female,8,44,No,No,6,6,39
Female,8,91,Yes,Yes,8,0,94
Female,1,43,Yes,No,5,5,20
Male,9,50,No,Yes,8,4,53
Male,2,57,No,Yes,7,7,37
Male,9,81,No,Yes,4,7,80
Female,1,88,Yes,No,6,3,63
Female,9,69,Yes,No,6,0,71
Female,4,54,Yes,No,8,5,40
Female,9,45,No,No,8,9,46
Female,7,94,No,Yes,4,0,89
Female,6,92,No,Yes,6,4,88
Female,5,55,Yes,No,4,4,38
Male,9,86,No,Yes,8,2,85
Male,2,79,Yes,No,9,4,62
Female,2,48,No,No,8,5,29
Female,9,82,No,Yes,5,4,84
Male,3,98,Yes,Yes,8,0,85
Male,8,73,Yes,Yes,8,6,73
Female,9,66,No,No,9,2,70
Male,8,52,Yes,Yes,4,6,48
Male,4,75,Yes,Yes,5,4,60
Male,1,66,Yes,Yes,5,2,41
Male,4,48,Yes,Yes,6,5,37
Male,9,44,Yes,No,9,0,45
Female,2,90,No,No,7,5,73
Male,3,61,No,No,6,3,39
Male,8,70,No,No,6,3,62
Female,6,42,No,No,6,4,35
Male,8,69,Yes,No,5,8,65
Male,7,60,No,No,4,0,48
Male,5,74,Yes,Yes,8,2,66
Male,9,45,No,Yes,5,3,48
Male,4,67,No,Yes,8,1,53
Female,6,71,Yes,No,8,8,65
Male,2,81,No,Yes,7,6,65
Male,2,76,No,No,6,0,56
Female,2,64,No,No,7,8,45
Male,7,71,No,Yes,6,5,63
Male,2,74,No,No,5,1,53
Male,2,61,No,Yes,8,0,40
Female,9,63,No,No,7,5,65
Female,7,78,Yes,No,9,6,77
Male,3,93,No,Yes,5,9,79
Female,3,69,No,Yes,5,5,55
Female,7,89,No,Yes,9,6,89
Male,5,71,No,No,6,5,56
Male,6,70,No,Yes,8,7,64
Female,8,62,No,No,6,1,56
Male,9,79,Yes,No,6,8,80
Male,1,72,No,Yes,5,8,52
Female,3,64,No,No,6,8,48
Male,7,75,Yes,Yes,4,6,69
Male,6,63,Yes,No,9,8,51
Male,7,70,No,Yes,9,0,64
Female,8,97,No,No,8,2,94
Female,6,78,No,No,9,1,71
Female,3,85,Yes,No,6,0,66
Female,2,52,Yes,No,6,4,34
Female,7,49,No,Yes,7,0,49
Female,1,62,No,No,8,2,40
Female,3,57,Yes,No,8,5,39
Female,4,71,Yes,Yes,9,5,58
Female,1,72,Yes,No,6,2,50
Male,5,75,Yes,No,4,3,60
Female,3,67,No,Yes,7,6,52
Female,2,55,Yes,No,4,5,34
Male,3,55,Yes,Yes,6,1,43
Female,8,57,No,Yes,8,8,63
Female,6,47,Yes,No,8,5,44
Female,7,81,No,Yes,4,1,76
Male,6,55,Yes,No,5,6,44
Male,6,94,No,No,6,9,87
Female,3,95,Yes,No,8,9,81
Male,8,50,No,No,9,3,47
Female,7,45,No,Yes,5,0,38
Female,7,40,Yes,No,8,9,37
Female,6,51,No,Yes,9,8,44
Male,5,96,No,No,8,9,80
Female,8,77,Yes,Yes,5,7,77
Male,5,67,No,Yes,4,4,57
Male,9,84,No,No,6,2,82
Female,9,97,Yes,Yes,5,3,100
Male,1,56,Yes,No,5,2,26
Male,6,40,No,Yes,8,9,30
Male,7,71,No,No,9,7,64
Female,3,47,No,No,5,4,28
Male,7,93,No,Yes,6,7,89
Male,7,79,No,Yes,4,0,76
Male,2,95,Yes,Yes,9,8,79
Female,7,82,No,No,4,9,80
Male,1,85,Yes,No,4,2,58
Male,5,63,Yes,No,6,0,44
Female,9,49,Yes,No,8,2,52
Male,7,86,Yes,Yes,9,1,86
Male,7,78,No,No,9,6,75
Female,2,78,No,No,6,9,57
Female,8,49,No,Yes,9,3,49
Female,3,75,Yes,No,5,6,58
Male,8,64,Yes,No,7,2,61
Male,3,89,No,Yes,7,5,72
Female,7,98,Yes,No,7,6,95
Female,2,96,No,Yes,4,6,81
Female,4,49,Yes,No,9,4,38
Male,6,58,Yes,Yes,6,5,49
Female,9,85,Yes,Yes,9,2,92
Female,5,84,Yes,No,6,3,74
Male,9,54,Yes,Yes,9,5,55
Male,5,55,Yes,No,4,2,42
Male,8,41,Yes,No,5,6,36
Female,1,68,No,No,7,2,48
Female,7,43,No,No,7,8,40
Female,4,92,Yes,No,9,3,82
Male,5,89,Yes,Yes,4,1,78
Female,6,68,No,No,7,5,57
Female,5,70,Yes,Yes,9,8,62
Male,1,56,No,No,8,9,38
Female,9,49,No,No,9,9,52
Female,2,66,No,No,6,1,48
Male,9,92,No,Yes,7,3,94
Female,2,80,No,No,7,4,61
Male,9,54,Yes,No,8,8,54
Male,6,83,Yes,Yes,5,6,76
Female,9,70,No,No,9,4,72
Male,6,60,Yes,No,5,5,53
Male,6,98,No,No,9,8,92
Male,2,97,Yes,No,8,3,78
Male,8,80,Yes,Yes,5,1,79
Male,3,85,Yes,No,4,4,68
Male,7,84,Yes,No,8,6,79
Male,5,65,Yes,No,9,3,54
Male,3,77,Yes,Yes,6,0,62
Male,1,90,Yes,Yes,6,7,71
Male,8,75,Yes,No,6,4,71
Male,3,91,No,No,9,9,76
Male,2,56,No,No,7,1,31
Female,1,90,Yes,Yes,8,2,72
Female,4,42,Yes,Yes,8,9,33
Female,8,53,Yes,No,5,9,53
Male,3,88,No,Yes,8,4,71
Male,1,52,Yes,Yes,8,3,30
Female,4,80,Yes,No,5,8,65
Male,9,66,No,No,8,8,67
Female,1,40,No,No,8,7,15
Female,2,96,No,Yes,4,1,76
Male,9,56,Yes,No,9,4,51
Female,2,87,No,Yes,5,7,69
Female,3,89,Yes,No,4,7,73
Male,7,73,No,Yes,7,6,71
Female,3,53,Yes,No,5,3,39
Male,9,93,Yes,No,9,2,90
Female,6,94,Yes,Yes,8,7,90
Male,3,98,No,No,8,7,82
Male,9,56,Yes,Yes,4,9,56
Male,1,42,Yes,Yes,4,4,17
Female,3,73,Yes,Yes,7,2,56
Male,1,79,No,No,7,4,52
Female,2,64,Yes,Yes,9,3,52
Female,8,41,Yes,No,8,7,42
Female,7,73,Yes,Yes,6,1,76
Male,2,65,Yes,No,7,7,46
Male,2,70,No,No,8,9,48
Male,9,48,Yes,Yes,7,5,51
Male,6,69,No,Yes,5,3,62
Female,5,59,No,Yes,4,2,51
Male,6,60,Yes,No,8,9,51
Female,9,68,No,No,7,4,68
Female,7,98,No,Yes,4,5,96
Female,9,64,No,No,6,0,62
Female,4,77,Yes,No,7,0,66
Male,2,97,No,Yes,8,9,78
Female,8,83,No,No,5,2,77
Female,4,64,Yes,No,4,1,48
Male,9,48,Yes,Yes,4,0,48
Female,4,78,No,Yes,5,7,69
Female,8,83,No,No,8,0,82
Male,9,65,No,No,9,9,64
Female,9,96,Yes,Yes,6,7,100
Male,4,76,No,No,9,4,60
Female,1,55,Yes,Yes,5,3,37
Female,3,76,No,Yes,6,7,63
Male,9,51,No,Yes,8,7,56
Female,4,63,Yes,No,7,7,52
Female,5,65,No,Yes,7,2,56
Female,7,59,Yes,Yes,9,7,59
Female,5,48,No,Yes,8,0,40
Male,4,62,Yes,Yes,6,3,49
Female,2,78,Yes,Yes,9,4,65
Female,2,68,No,Yes,5,5,52
Male,4,70,Yes,No,9,4,54
Female,9,58,No,Yes,8,4,66
Female,8,59,Yes,No,8,4,58
Male,3,62,Yes,Yes,7,8,45
Male,9,82,Yes,Yes,5,9,85
Female,5,66,No,Yes,7,9,57
Female,3,69,Yes,No,6,2,53
Female,5,60,Yes,Yes,6,1,52
Female,4,83,Yes,No,4,9,70
Female,8,74,No,No,8,1,70
Female,5,88,No,No,5,7,77
Female,8,46,Yes,No,5,4,43
Female,9,61,Yes,No,7,4,62
Female,4,49,No,Yes,9,5,43
Male,7,62,Yes,Yes,9,8,58
Female,2,54,Yes,Yes,7,6,39
Female,6,69,Yes,No,9,4,60
Female,8,73,Yes,No,5,4,66
Female,7,52,Yes,Yes,7,9,51
Male,7,43,Yes,No,9,8,40
Male,8,57,No,Yes,4,8,52
Female,7,95,Yes,No,8,1,93
Female,5,62,Yes,No,4,6,53
Male,7,72,No,No,9,9,69
Female,3,73,No,No,6,0,57
Male,5,73,No,No,5,3,57
Female,7,75,No,No,4,1,66
Male,9,74,Yes,No,4,9,68
Female,2,56,No,Yes,7,8,44
Female,4,67,Yes,Yes,7,5,59
Female,7,53,No,No,7,3,49
Male,1,73,No,No,9,2,44
Male,2,87,No,Yes,6,3,69
Male,9,50,Yes,Yes,4,1,50
Female,7,96,No,Yes,8,4,96
Male,7,52,No,Yes,7,8,47
Female,6,72,No,Yes,6,5,67
Male,3,96,Yes,No,9,1,76
Female,3,94,Yes,Yes,6,5,82
Male,2,41,No,No,7,8,17
Male,6,73,Yes,No,5,3,64
Male,4,92,No,No,4,0,76
Female,5,68,Yes,Yes,7,1,62
Female,3,76,No,No,8,4,57
Male,6,43,Yes,Yes,4,9,35
Male,3,51,No,No,6,6,33
Female,8,65,Yes,Yes,8,7,69
Male,9,97,Yes,No,4,2,98
Male,4,67,No,No,8,8,50
Female,9,42,No,Yes,6,1,43
Male,7,59,Yes,Yes,7,3,56
Male,3,49,No,No,8,3,30
Male,7,91,No,No,7,5,86
Female,1,57,No,No,6,9,31
Female,3,92,No,Yes,6,5,78
Female,6,92,Yes,No,8,2,85
Male,4,92,No,Yes,8,8,82
Male,7,66,Yes,Yes,6,4,64
Male,3,70,Yes,Yes,8,1,55
Female,1,66,No,No,8,5,49
Male,9,81,No,No,8,2,79
Female,6,40,Yes,No,9,7,32
Male,8,45,No,Yes,8,2,46
Male,3,50,No,No,4,4,29
Male,8,73,Yes,Yes,6,3,70
Male,2,78,Yes,Yes,6,3,61
Female,4,59,Yes,No,5,1,43
Male,3,92,No,Yes,7,7,78
Female,1,60,No,No,5,2,39
Male,7,60,Yes,Yes,8,3,56
Female,2,57,Yes,Yes,8,5,45
Male,4,60,No,Yes,4,8,47
Male,9,58,No,No,4,3,51
Female,6,43,No,Yes,4,2,38
Male,8,52,Yes,Yes,4,4,52
Male,2,57,No,No,4,8,35
Female,7,91,No,No,4,0,84
Male,6,68,Yes,Yes,4,4,60
Female,9,64,No,Yes,4,3,65
Male,7,95,Yes,No,9,4,93
Male,1,52,No,No,4,6,27
Male,8,66,Yes,Yes,6,6,66
Female,3,58,Yes,No,4,6,41
Female,2,88,Yes,No,7,0,71
Male,3,40,No,Yes,4,8,21
Male,6,77,No,No,9,6,73
Male,3,58,No,No,8,3,39
Female,5,91,No,No,9,3,82
Male,6,40,Yes,No,9,1,28
Female,8,79,No,Yes,8,5,84
Male,7,56,No,No,4,9,49
Female,8,60,Yes,No,4,2,58
Male,3,61,Yes,No,8,0,41
Female,4,54,Yes,No,7,4,44
Female,6,89,Yes,No,5,5,80
Male,7,78,No,Yes,6,4,75
Female,9,87,Yes,Yes,8,4,91
Male,1,78,No,No,4,9,51
Male,8,71,No,No,6,7,65
Female,8,88,Yes,No,4,9,84
Male,6,43,Yes,Yes,5,0,34
Male,4,83,Yes,Yes,5,7,74
Female,3,84,Yes,No,8,6,73
Female,3,71,Yes,Yes,6,0,62
Female,6,43,No,No,9,8,36
Female,8,92,Yes,Yes,6,3,93
Female,7,40,No,No,9,6,36
Male,1,72,Yes,No,5,2,43
Male,6,46,No,No,4,7,33
Female,7,48,No,No,9,3,42
Male,7,40,No,No,9,1,30
Male,9,55,Yes,No,8,1,53
Female,5,57,Yes,No,7,7,44
Female,1,93,Yes,No,5,7,72
Male,2,86,No,Yes,9,0,64
Female,4,45,No,No,5,5,29
Male,5,41,Yes,Yes,8,8,29
Female,9,48,Yes,Yes,4,8,54
Male,1,43,No,Yes,6,1,24
Male,3,84,No,Yes,5,7,67
Female,5,62,Yes,Yes,8,7,54
Female,3,93,Yes,Yes,8,3,82
Male,4,82,Yes,No,8,3,66
Male,3,84,No,No,6,4,62
Male,4,82,No,Yes,5,9,66
Male,1,90,Yes,No,9,6,65
Female,8,47,Yes,No,8,0,47
Female,4,78,Yes,Yes,6,8,71
Male,7,64,Yes,No,4,2,54
Female,2,55,Yes,Yes,7,3,40
Female,2,74,No,Yes,5,6,60
Male,6,56,Yes,Yes,6,4,46
Male,2,57,No,Yes,7,4,38
Female,6,66,No,No,7,0,54
Female,2,54,No,No,6,1,33
Male,4,56,No,No,9,4,42
Female,7,82,No,No,9,1,81
Female,8,44,No,Yes,6,0,44
Male,3,55,No,Yes,6,9,35
Female,9,54,No,Yes,8,2,55
Female,2,81,Yes,No,4,0,60
Female,8,85,Yes,No,9,9,86
Female,8,73,Yes,Yes,8,7,76
Male,4,87,Yes,No,7,7,71
Female,1,58,Yes,Yes,7,7,42
Female,1,47,No,No,7,6,25
Male,2,86,No,No,6,6,62
Male,9,49,No,Yes,5,1,47
Male,2,44,No,Yes,8,8,32
Male,2,91,No,Yes,5,6,75
Male,6,87,Yes,Yes,4,4,81
Female,7,92,Yes,No,4,3,87
Male,7,65,No,No,8,7,56
Female,9,61,Yes,No,7,4,62
Male,6,83,Yes,No,9,5,73
Female,8,62,Yes,Yes,4,3,61
Male,6,52,Yes,No,5,1,38
Female,2,48,Yes,Yes,5,6,32
Female,1,88,No,No,9,1,65
Male,5,59,Yes,Yes,6,6,48
